Tracker ID,Current_stage,Status,xcoord,ycoord
A02T03R01,module_rails,completed,613587.295,1098432.866
A02T04R01,pile,not_started,613587.295,1098243.818
A02T01R02,module_rails,completed,613604.472,1098810.962
A02T01R03,module_rails,completed,613621.649,1098810.962
A02T01R04,module_rails,completed,613638.826,1098810.962
A02T01R05,module_rails,completed,613656.003,1098707.307
A02T02R02,module_rails,completed,613604.472,1098621.914
A02T03R02,module_rails,completed,613604.472,1098432.866
A02T04R02,pile,not_started,613604.472,1098243.818
A02T02R03,module_rails,completed,613621.649,1098621.914
A02T03R03,torque_tube,not_started,613621.649,1098432.866
A02T04R03,pile,not_started,613621.649,1098243.818
A02T02R04,module_rails,completed,613638.826,1098621.914
A02T03R04,module_rails,completed,613638.826,1098432.866
A02T04R04,pile,not_started,613638.826,1098243.818
A02T02R05,module_rails,completed,613656.003,1098518.259
A02T03R05,torque_tube,not_started,613656.003,1098329.211
A02T04R05,pile,not_started,613656.003,1098140.163
A02T01R06,module_rails,completed,613673.18,1098707.307
A02T02R06,module_rails,completed,613673.18,1098518.259
A02T03R06,torque_tube,not_started,613673.18,1098329.211
A02T04R06,pile,not_started,613673.18,1098140.163
A02T01R07,module_rails,completed,613690.357,1098707.307
A02T02R07,module_rails,completed,613690.357,1098518.259
A02T03R07,torque_tube,not_started,613690.357,1098329.211
A02T04R07,pile,not_started,613690.357,1098140.163
A02T01R08,module_rails,completed,613707.534,1098707.307
A02T02R08,module_rails,completed,613707.534,1098518.259
A02T03R08,torque_tube,not_started,613707.534,1098329.211
A02T01R09,module_rails,completed,613724.711,1098707.307
A02T02R09,module_rails,completed,613724.711,1098518.259
A02T03R09,torque_tube,not_started,613724.711,1098329.211
A02T01R10,module_rails,completed,613741.888,1098707.307
A02T02R10,module_rails,completed,613741.888,1098518.259
A02T03R10,torque_tube,not_started,613741.888,1098329.211
A02T01R11,module_rails,completed,613759.065,1098707.307
A02T02R11,module_rails,completed,613759.065,1098518.259
A02T03R11,pile,completed,613759.065,1098329.211
A02T01R12,module_rails,completed,613776.242,1098707.307
A02T02R12,module_rails,completed,613776.242,1098518.259
A02T03R12,pile,in_progress,613776.242,1098329.211
A02T01R13,pile,in_progress,613793.419,1098707.307
A02T02R13,pile,not_started,613793.419,1098518.259
A02T03R13,pile,not_started,613793.419,1098329.211
A02T01R14,pile,in_progress,613810.596,1098707.307
A02T02R14,pile,not_started,613810.596,1098518.259
A02T01R15,pile,in_progress,613827.773,1098707.307
A02T02R15,pile,not_started,613827.773,1098518.259
A02T01R16,pile,not_started,613844.95,1098707.307
A02T02R16,pile,not_started,613844.95,1098518.259
A02T01R17,pile,not_started,613862.127,1098707.307
A02T02R17,pile,not_started,613862.127,1098518.259
A02T01R18,pile,in_progress,613879.304,1098707.307
A02T02R18,pile,not_started,613879.304,1098518.259
A02T01R21,pile,completed,613930.835,1098787.742
A02T01R22,pile,completed,613948.012,1098787.742
A02T01R23,pile,completed,613965.189,1098787.742
A02T01R33,pile,not_started,614136.959,1098714.859
A02T01R34,pile,not_started,614154.136,1098704.287
A02T01R35,pile,not_started,614171.313,1098693.716
A02T01R36,pile,not_started,614188.49,1098683.144
A02T01R37,pile,not_started,614205.667,1098672.573
A02T01R38,pile,not_started,614222.844,1098662.002
A02T02R21,pile,in_progress,613930.835,1098598.694
A02T02R22,pile,in_progress,613948.012,1098598.694
A02T02R23,pile,in_progress,613965.189,1098598.694
A02T02R33,pile,not_started,614136.959,1098525.811
A02T02R34,pile,not_started,614154.136,1098515.24
A02T02R35,pile,not_started,614171.313,1098504.668
A02T02R36,pile,no_started,614188.49,1098494.097
A02T02R37,pile,not_started,614205.667,1098483.525
A02T02R38,pile,not_started,614222.844,1098472.954
A02T03R33,pile,not_started,614136.959,1098336.763
A02T03R34,pile,not_started,614154.136,1098326.192
A02T03R35,pile,not_started,614171.313,1098315.62
A02T03R36,pile,not_started,614188.49,1098305.049
A02T03R37,pile,not_started,614205.667,1098294.477
A02T03R38,pile,not_started,614222.844,1098283.906
A02T01R19,pile,completed,613896.481,1098787.742
A02T02R19,pile,in_progress,613896.481,1098598.694
A02T01R20,pile,in_progress,613913.658,1098787.742
A02T02R20,pile,in_progress,613913.658,1098598.694
A02T01R24,pile,completed,613982.366,1098781.695
A02T01R25,pile,in_progress,613999.543,1098774.291
A02T01R26,pile,in_progress,614016.72,1098766.888
A02T01R27,pile,in_progress,614033.897,1098759.484
A02T01R28,pile,in_progress,614051.074,1098752.08
A02T02R24,pile,in_progress,613982.366,1098592.647
A02T02R25,pile,in_progress,613999.543,1098585.243
A02T02R26,pile,in_progress,614016.72,1098577.84
A02T02R27,pile,in_progress,614033.897,1098570.436
A02T02R28,pile,in_progress,614051.074,1098563.032
A02T04R28,pile,not_started,614051.074,1098184.936
A02T03R26,pile,not_started,614016.72,1098388.792
A02T03R27,pile,not_started,614033.897,1098381.388
A02T03R28,pile,not_started,614051.074,1098373.984
A02T04R27,pile,not_started,614033.897,1098192.34
A02T04R26,pile,not_started,614016.72,1098199.744
A02T01R29,pile,in_progress,614068.251,1098744.676
A02T02R29,pile,not_started,614068.251,1098555.628
A02T04R29,pile,not_started,614068.251,1098177.532
A02T03R29,pile,not_started,614068.251,1098366.58
A02T01R30,pile,in_progress,614085.428,1098737.272
A02T02R30,pile,in_progress,614085.428,1098548.224
A02T04R30,pile,not_started,614085.428,1098170.129
A02T03R30,pile,not_started,614085.428,1098359.177
A02T01R31,pile,not_started,614102.605,1098729.869
A02T02R31,pile,not_started,614102.605,1098540.821
A02T04R31,pile,not_started,614102.605,1098162.725
A02T03R31,pile,not_started,614102.605,1098351.773
A02T01R32,pile,not_started,614119.782,1098722.465
A02T02R32,pile,not_started,614119.782,1098533.417
A02T03R32,pile,not_started,614119.782,1098344.369
A02T03R24,pile,not_started,613982.366,1098403.599
A02T03R23,pile,not_started,613965.189,1098409.646
A02T02R47,pile,not_started,614377.437,1098491.639
A02T03R47,pile,not_started,614377.437,1098302.591
A02T02R46,pile,not_started,614360.26,1098491.639
A02T03R46,pile,not_started,614360.26,1098302.591
A02T02R45,pile,not_started,614343.083,1098491.639
A02T03R45,pile,not_started,614343.083,1098302.591
A02T02R44,pile,not_started,614325.906,1098491.639
A02T03R44,pile,not_started,614325.906,1098302.591
A02T02R43,pile,not_started,614308.729,1098491.639
A02T03R43,pile,not_started,614308.729,1098302.591
A02T02R42,pile,not_started,614291.552,1098491.639
A02T03R42,pile,not_started,614291.552,1098302.591
A02T01R41,pile,not_started,614274.375,1098630.195
A02T02R41,pile,not_started,614274.375,1098441.147
A02T01R40,pile,not_started,614257.198,1098640.896
A02T02R40,pile,not_started,614257.198,1098451.848
A02T01R39,pile,not_started,614240.021,1098651.596
A02T02R39,pile,not_started,614240.021,1098462.548
A02T03R39,pile,not_started,614240.021,1098273.5
A02T03R40,pile,not_started,614257.198,1098262.8
A02T03R41,pile,not_started,614274.375,1098252.099
A02T05R04,pile,not_started,613638.826,1098054.77
A02T05R02,pile,not_started,613604.472,1098054.77
A02T05R01,pile,not_started,613587.295,1098054.77
A02T05R03,pile,not_started,613621.649,1098054.77
A01T05R02,pile,not_started,612883.038,1098426.61
A01T05R03,pile,not_started,612900.215,1098426.61
A01T05R04,pile,not_started,612917.392,1098426.61
