Tracker ID,Current_stage,Status,slew_drive_stage,pony_panel_stage,source_image
A18T01R01_boundary,pile,not_started,not_started,not_started,A18T01R01_boundary.tif
A18T01R02_boundary,pile,completed,not_started,not_started,A18T01R02_boundary.tif
A18T01R03_boundary,pile,completed,not_started,not_started,A18T01R03_boundary.tif
A18T01R04_boundary,pile,not_started,not_started,not_started,A18T01R04_boundary.tif
A18T01R05_boundary,pile,not_started,not_started,not_started,A18T01R05_boundary.tif
A18T01R06_boundary,pile,not_started,not_started,not_started,A18T01R06_boundary.tif
A18T01R07_boundary,pile,not_started,not_started,not_started,A18T01R07_boundary.tif
A18T01R08_boundary,pile,completed,not_started,not_started,A18T01R08_boundary.tif
A18T01R09_boundary,pile,not_started,not_started,not_started,A18T01R09_boundary.tif
A18T01R10_boundary,pile,completed,completed,not_started,A18T01R10_boundary.tif
A18T01R11_boundary,pile,not_started,not_started,not_started,A18T01R11_boundary.tif
A18T01R12_boundary,pile,not_started,not_started,not_started,A18T01R12_boundary.tif
A18T01R13_boundary,pile,not_started,not_started,not_started,A18T01R13_boundary.tif
A18T01R14_boundary,pile,not_started,not_started,not_started,A18T01R14_boundary.tif
A18T01R15_boundary,pile,not_started,not_started,not_started,A18T01R15_boundary.tif
A18T01R16_boundary,pile,completed,not_started,not_started,A18T01R16_boundary.tif
A18T01R17_boundary,pile,completed,not_started,not_started,A18T01R17_boundary.tif
A18T01R18_boundary,pile,completed,not_started,not_started,A18T01R18_boundary.tif
A18T01R19_boundary,pile,not_started,not_started,not_started,A18T01R19_boundary.tif
A18T01R20_boundary,pile,not_started,not_started,not_started,A18T01R20_boundary.tif
A18T01R21_boundary,pile,not_started,not_started,not_started,A18T01R21_boundary.tif
A18T01R22_boundary,pile,completed,not_started,not_started,A18T01R22_boundary.tif
A18T01R23_boundary,pile,not_started,not_started,not_started,A18T01R23_boundary.tif
A18T01R24_boundary,pile,not_started,not_started,not_started,A18T01R24_boundary.tif
A18T01R25_boundary,pile,completed,not_started,not_started,A18T01R25_boundary.tif
A18T01R26_boundary,pile,not_started,not_started,not_started,A18T01R26_boundary.tif
A18T01R27_boundary,pile,completed,not_started,not_started,A18T01R27_boundary.tif
A18T01R28_boundary,pile,not_started,not_started,not_started,A18T01R28_boundary.tif
A18T01R29_boundary,pile,completed,not_started,not_started,A18T01R29_boundary.tif
A18T01R30_boundary,pile,completed,not_started,not_started,A18T01R30_boundary.tif
A18T01R31_boundary,pile,completed,not_started,not_started,A18T01R31_boundary.tif
A18T01R32_boundary,pile,completed,not_started,not_started,A18T01R32_boundary.tif
A18T01R33_boundary,pile,not_started,not_started,not_started,A18T01R33_boundary.tif
A18T01R34_boundary,pile,not_started,not_started,not_started,A18T01R34_boundary.tif
A18T01R35_boundary,pile,completed,completed,not_started,A18T01R35_boundary.tif
A18T01R36_boundary,pile,completed,not_started,not_started,A18T01R36_boundary.tif
A18T02R01_boundary,pile,not_started,not_started,not_started,A18T02R01_boundary.tif
A18T02R02_boundary,pile,completed,not_started,not_started,A18T02R02_boundary.tif
A18T02R03_boundary,pile,completed,not_started,not_started,A18T02R03_boundary.tif
A18T02R04_boundary,pile,not_started,not_started,not_started,A18T02R04_boundary.tif
A18T02R05_boundary,pile,not_started,not_started,not_started,A18T02R05_boundary.tif
A18T02R06_boundary,pile,completed,not_started,not_started,A18T02R06_boundary.tif
A18T02R07_boundary,pile,not_started,not_started,not_started,A18T02R07_boundary.tif
A18T02R08_boundary,pile,completed,not_started,not_started,A18T02R08_boundary.tif
A18T02R09_boundary,pile,not_started,not_started,not_started,A18T02R09_boundary.tif
A18T02R10_boundary,pile,not_started,not_started,not_started,A18T02R10_boundary.tif
A18T02R11_boundary,pile,completed,not_started,not_started,A18T02R11_boundary.tif
A18T02R12_boundary,pile,completed,not_started,not_started,A18T02R12_boundary.tif
A18T02R13_boundary,pile,completed,not_started,not_started,A18T02R13_boundary.tif
A18T02R14_boundary,pile,not_started,not_started,not_started,A18T02R14_boundary.tif
A18T02R15_boundary,pile,completed,not_started,not_started,A18T02R15_boundary.tif
A18T02R16_boundary,pile,not_started,not_started,not_started,A18T02R16_boundary.tif
A18T02R17_boundary,pile,completed,not_started,not_started,A18T02R17_boundary.tif
A18T02R18_boundary,pile,completed,not_started,not_started,A18T02R18_boundary.tif
A18T02R19_boundary,pile,completed,not_started,not_started,A18T02R19_boundary.tif
A18T02R20_boundary,pile,completed,not_started,not_started,A18T02R20_boundary.tif
A18T02R21_boundary,pile,completed,not_started,not_started,A18T02R21_boundary.tif
A18T02R22_boundary,pile,not_started,not_started,not_started,A18T02R22_boundary.tif
A18T02R23_boundary,pile,completed,not_started,not_started,A18T02R23_boundary.tif
