Tracker ID,Current_stage,Status,slew_drive_stage,pony_panel_stage,source_image
A22T01R01_boundary,pile,completed,completed,not_started,A22T01R01_boundary.tif
A22T01R02_boundary,torque_tube,completed,completed,not_started,A22T01R02_boundary.tif
A22T01R03_boundary,pile,in_progress,not_started,not_started,A22T01R03_boundary.tif
A22T01R04_boundary,pile,completed,not_started,not_started,A22T01R04_boundary.tif
A22T01R05_boundary,pile,completed,not_started,not_started,A22T01R05_boundary.tif
A22T01R06_boundary,pile,completed,not_started,not_started,A22T01R06_boundary.tif
A22T01R07_boundary,pile,completed,completed,not_started,A22T01R07_boundary.tif
A22T01R08_boundary,pile,completed,not_started,not_started,A22T01R08_boundary.tif
A22T01R09_boundary,pile,completed,not_started,not_started,A22T01R09_boundary.tif
A22T01R10_boundary,torque_tube,completed,completed,not_started,A22T01R10_boundary.tif
A22T01R11_boundary,pile,completed,not_started,not_started,A22T01R11_boundary.tif
A22T01R12_boundary,torque_tube,completed,completed,not_started,A22T01R12_boundary.tif
A22T01R13_boundary,torque_tube,completed,completed,not_started,A22T01R13_boundary.tif
A22T01R14_boundary,pile,completed,not_started,not_started,A22T01R14_boundary.tif
A22T01R15_boundary,torque_tube,completed,completed,not_started,A22T01R15_boundary.tif
A22T01R16_boundary,pile,completed,not_started,not_started,A22T01R16_boundary.tif
A22T01R17_boundary,pile,completed,not_started,not_started,A22T01R17_boundary.tif
A22T01R18_boundary,pile,completed,not_started,not_started,A22T01R18_boundary.tif
A22T01R19_boundary,torque_tube,completed,completed,not_started,A22T01R19_boundary.tif
A22T01R20_boundary,pile,completed,not_started,not_started,A22T01R20_boundary.tif
A22T01R21_boundary,pile,completed,not_started,not_started,A22T01R21_boundary.tif
A22T01R22_boundary,torque_tube,completed,completed,not_started,A22T01R22_boundary.tif
A22T01R23_boundary,torque_tube,completed,completed,not_started,A22T01R23_boundary.tif
A22T01R24_boundary,torque_tube,completed,completed,not_started,A22T01R24_boundary.tif
A22T01R25_boundary,pile,completed,in_progress,not_started,A22T01R25_boundary.tif
A22T01R26_boundary,pile,completed,in_progress,not_started,A22T01R26_boundary.tif
A22T01R27_boundary,pile,completed,not_started,not_started,A22T01R27_boundary.tif
A22T01R28_boundary,pile,completed,not_started,not_started,A22T01R28_boundary.tif
A22T01R29_boundary,pile,completed,completed,not_started,A22T01R29_boundary.tif
A22T01R30_boundary,pile,completed,not_started,not_started,A22T01R30_boundary.tif
A22T01R31_boundary,pile,completed,not_started,not_started,A22T01R31_boundary.tif
A22T01R32_boundary,torque_tube,completed,completed,not_started,A22T01R32_boundary.tif
A22T01R33_boundary,pile,completed,not_started,not_started,A22T01R33_boundary.tif
A22T01R34_boundary,torque_tube,completed,completed,not_started,A22T01R34_boundary.tif
A22T01R35_boundary,pile,completed,not_started,not_started,A22T01R35_boundary.tif
A22T01R36_boundary,torque_tube,completed,completed,not_started,A22T01R36_boundary.tif
A22T01R37_boundary,pile,completed,not_started,not_started,A22T01R37_boundary.tif
A22T01R38_boundary,torque_tube,completed,completed,not_started,A22T01R38_boundary.tif
A22T01R39_boundary,pile,completed,not_started,not_started,A22T01R39_boundary.tif
A22T01R40_boundary,pile,completed,in_progress,not_started,A22T01R40_boundary.tif
A22T01R41_boundary,pile,completed,not_started,not_started,A22T01R41_boundary.tif
A22T01R42_boundary,pile,completed,in_progress,not_started,A22T01R42_boundary.tif
A22T01R43_boundary,pile,completed,not_started,not_started,A22T01R43_boundary.tif
A22T01R44_boundary,pile,completed,not_started,not_started,A22T01R44_boundary.tif
A22T01R45_boundary,pile,completed,not_started,not_started,A22T01R45_boundary.tif
A22T01R46_boundary,torque_tube,completed,completed,not_started,A22T01R46_boundary.tif
A22T01R47_boundary,torque_tube,completed,completed,not_started,A22T01R47_boundary.tif
A22T01R48_boundary,pile,completed,not_started,not_started,A22T01R48_boundary.tif
A22T01R49_boundary,module_rails,completed,completed,not_started,A22T01R49_boundary.tif
A22T01R50_boundary,pile,completed,not_started,not_started,A22T01R50_boundary.tif
A22T01R51_boundary,torque_tube,completed,completed,not_started,A22T01R51_boundary.tif
A22T01R52_boundary,torque_tube,completed,completed,not_started,A22T01R52_boundary.tif
A22T02R01_boundary,pile,completed,not_started,not_started,A22T02R01_boundary.tif
A22T02R02_boundary,pile,completed,in_progress,not_started,A22T02R02_boundary.tif
A22T02R03_boundary,pile,completed,not_started,not_started,A22T02R03_boundary.tif
A22T02R04_boundary,pile,completed,in_progress,not_started,A22T02R04_boundary.tif
A22T02R05_boundary,pile,completed,in_progress,not_started,A22T02R05_boundary.tif
A22T02R06_boundary,pile,completed,in_progress,not_started,A22T02R06_boundary.tif
A22T02R07_boundary,pile,completed,not_started,not_started,A22T02R07_boundary.tif
A22T02R08_boundary,pile,completed,in_progress,not_started,A22T02R08_boundary.tif
A22T02R09_boundary,pile,completed,not_started,not_started,A22T02R09_boundary.tif
A22T02R10_boundary,pile,completed,in_progress,not_started,A22T02R10_boundary.tif
A22T02R11_boundary,pile,completed,not_started,not_started,A22T02R11_boundary.tif
A22T02R12_boundary,pile,completed,not_started,not_started,A22T02R12_boundary.tif
A22T02R13_boundary,pile,completed,in_progress,not_started,A22T02R13_boundary.tif
A22T02R14_boundary,pile,completed,not_started,not_started,A22T02R14_boundary.tif
A22T02R15_boundary,torque_tube,completed,completed,not_started,A22T02R15_boundary.tif
A22T02R16_boundary,pile,completed,not_started,not_started,A22T02R16_boundary.tif
A22T02R17_boundary,pile,completed,not_started,not_started,A22T02R17_boundary.tif
A22T02R18_boundary,pile,completed,not_started,not_started,A22T02R18_boundary.tif
A22T02R19_boundary,pile,completed,not_started,not_started,A22T02R19_boundary.tif
A22T02R20_boundary,pile,completed,not_started,not_started,A22T02R20_boundary.tif
A22T02R21_boundary,pile,completed,not_started,not_started,A22T02R21_boundary.tif
A22T02R22_boundary,pile,completed,not_started,not_started,A22T02R22_boundary.tif
A22T02R23_boundary,pile,completed,not_started,not_started,A22T02R23_boundary.tif
A22T02R24_boundary,pile,completed,in_progress,not_started,A22T02R24_boundary.tif
A22T02R25_boundary,pile,completed,not_started,not_started,A22T02R25_boundary.tif
A22T02R26_boundary,torque_tube,completed,completed,not_started,A22T02R26_boundary.tif
A22T02R27_boundary,torque_tube,completed,completed,not_started,A22T02R27_boundary.tif
A22T02R28_boundary,pile,completed,not_started,not_started,A22T02R28_boundary.tif
A22T02R29_boundary,pile,completed,not_started,not_started,A22T02R29_boundary.tif
A22T02R30_boundary,torque_tube,completed,completed,not_started,A22T02R30_boundary.tif
A22T02R31_boundary,pile,completed,not_started,not_started,A22T02R31_boundary.tif
A22T02R32_boundary,torque_tube,completed,completed,not_started,A22T02R32_boundary.tif
A22T02R33_boundary,pile,completed,not_started,not_started,A22T02R33_boundary.tif
A22T02R34_boundary,torque_tube,completed,completed,not_started,A22T02R34_boundary.tif
A22T02R35_boundary,pile,completed,not_started,not_started,A22T02R35_boundary.tif
A22T02R36_boundary,pile,completed,not_started,not_started,A22T02R36_boundary.tif
A22T02R37_boundary,pile,completed,not_started,not_started,A22T02R37_boundary.tif
A22T02R38_boundary,pile,completed,in_progress,not_started,A22T02R38_boundary.tif
A22T02R39_boundary,pile,completed,not_started,not_started,A22T02R39_boundary.tif
A22T02R40_boundary,pile,completed,in_progress,not_started,A22T02R40_boundary.tif
A22T02R41_boundary,pile,completed,not_started,not_started,A22T02R41_boundary.tif
A22T02R42_boundary,torque_tube,completed,completed,not_started,A22T02R42_boundary.tif
A22T02R43_boundary,pile,completed,not_started,not_started,A22T02R43_boundary.tif
A22T02R44_boundary,pile,completed,not_started,not_started,A22T02R44_boundary.tif
A22T02R45_boundary,torque_tube,completed,completed,not_started,A22T02R45_boundary.tif
A22T02R46_boundary,pile,completed,not_started,not_started,A22T02R46_boundary.tif
A22T02R47_boundary,pile,completed,not_started,not_started,A22T02R47_boundary.tif
A22T02R48_boundary,pile,completed,not_started,not_started,A22T02R48_boundary.tif
A22T02R49_boundary,torque_tube,completed,completed,not_started,A22T02R49_boundary.tif
A22T02R50_boundary,pile,completed,not_started,not_started,A22T02R50_boundary.tif
A22T02R51_boundary,pile,completed,not_started,not_started,A22T02R51_boundary.tif
A22T02R52_boundary,pile,completed,not_started,not_started,A22T02R52_boundary.tif
