Tracker ID,Current_stage,Status,slew_drive_stage,pony_panel_stage,source_image
A07T01R01_boundary,pile,completed,not_started,not_started,A07T01R01_boundary.tif
A07T01R02_boundary,solar_panel,completed,completed,completed,A07T01R02_boundary.tif
A07T01R03_boundary,solar_panel,completed,completed,completed,A07T01R03_boundary.tif
A07T01R04_boundary,solar_panel,completed,completed,completed,A07T01R04_boundary.tif
A07T01R05_boundary,solar_panel,completed,completed,not_started,A07T01R05_boundary.tif
A07T01R06_boundary,module_rails,completed,completed,not_started,A07T01R06_boundary.tif
A07T01R07_boundary,solar_panel,completed,completed,completed,A07T01R07_boundary.tif
A07T01R08_boundary,solar_panel,completed,completed,completed,A07T01R08_boundary.tif
A07T01R09_boundary,solar_panel,completed,completed,completed,A07T01R09_boundary.tif
A07T01R10_boundary,solar_panel,completed,completed,completed,A07T01R10_boundary.tif
A07T01R11_boundary,solar_panel,completed,completed,completed,A07T01R11_boundary.tif
A07T01R12_boundary,solar_panel,completed,completed,not_started,A07T01R12_boundary.tif
A07T01R13_boundary,solar_panel,completed,completed,not_started,A07T01R13_boundary.tif
A07T01R14_boundary,solar_panel,completed,completed,completed,A07T01R14_boundary.tif
A07T01R15_boundary,solar_panel,completed,completed,completed,A07T01R15_boundary.tif
A07T01R16_boundary,solar_panel,completed,completed,not_started,A07T01R16_boundary.tif
A07T01R17_boundary,solar_panel,completed,completed,completed,A07T01R17_boundary.tif
A07T01R18_boundary,solar_panel,completed,completed,not_started,A07T01R18_boundary.tif
A07T01R19_boundary,pile,not_started,not_started,not_started,A07T01R19_boundary.tif
A07T01R20_boundary,solar_panel,completed,completed,not_started,A07T01R20_boundary.tif
A07T01R21_boundary,solar_panel,completed,completed,not_started,A07T01R21_boundary.tif
A07T01R22_boundary,solar_panel,completed,completed,completed,A07T01R22_boundary.tif
A07T01R23_boundary,solar_panel,in_progress,completed,completed,A07T01R23_boundary.tif
A07T01R24_boundary,solar_panel,in_progress,completed,not_started,A07T01R24_boundary.tif
A07T01R25_boundary,pile,completed,not_started,not_started,A07T01R25_boundary.tif
A07T01R26_boundary,torque_tube,completed,completed,not_started,A07T01R26_boundary.tif
A07T01R27_boundary,pile,completed,not_started,not_started,A07T01R27_boundary.tif
A07T01R28_boundary,pile,completed,not_started,not_started,A07T01R28_boundary.tif
A07T01R29_boundary,torque_tube,completed,completed,not_started,A07T01R29_boundary.tif
A07T01R30_boundary,torque_tube,completed,completed,not_started,A07T01R30_boundary.tif
A07T01R31_boundary,pile,completed,not_started,not_started,A07T01R31_boundary.tif
A07T01R32_boundary,pile,completed,not_started,not_started,A07T01R32_boundary.tif
A07T01R33_boundary,pile,completed,not_started,not_started,A07T01R33_boundary.tif
